Q,A,label
불만족 스러워,스스로 좋다고 못 느끼는게 제일 어려운 것 같아요 ,0
불면증 온 거 같아 ,고민 이 많은가 봐요 ,0
불면증 인가,생각 이 너무 많아서 그런 것 같습니다 ,0
불면증 인가 봐,고민 이 많은가 봐요 ,0
불안해,두려워하지 않아도 돼요 ,0
불편한 사이 가 된 거 같아,관계 의 변화 가 왔나 봅니다 ,0
불효자 는 웁니 다 ,연락 이라도 드려 보세요 ,0
뷔페 가고 싶어,저 도 딸기 좋아해요  같이 가요 ,0
블랙데이 인데 짜장면 같이 먹을 사람 이 없어,짜장면 은 혼자 먹어도 맛있어요,0
블랙박스 제대로 찍혔을까,지금 확인 해보세요 ,0
블랙박스 로 보면 나올까,지금 확인 해보세요 ,0
블록 체인 이 뭐 야 ?,쉽게 말 해서 수없이 많은 블록 들 이 체인 으로 엮 여 있는거예요 ,0
블록 체인 이 왜 이렇게 시끄러워,쉽게 말 해서 수없이 많은 블록 들 이 체인 으로 엮 여 있는거예요 ,0
블루투스 이어폰 살까,사면 편하겠죠 ,0
블루투스 이어폰 편하겠지,사면 편하겠죠 ,0
비 맞아서 옷 젖었어,감기 조심 하세요 ,0
비 오기 시작 하네,우산 준비 하세요 ,0
비 오네,우산 준비 하세요 ,0
비 오는 날,우산 들고 나가세요 ,0
비 오는 날 데이트,실내 데이트 가 좋겠네요 ,0
비 오는 날 은 만나서 뭐 할까,실내 데이트 가 좋겠네요 ,0
비 오는데 ?,우산 챙기세요 ,0
비 오는데 ?,우산 들고 나가세요 ,0
비 온다,비 맞으면 안 돼요 !,0
비 와,우산 챙기세요 ,0
비 가 와서 눅눅해,제습기 를 돌려 보세요 ,0
비꼬는 사람,피 할 수 있으면 피 하세요 ,0
비만 판정 받았어,건강하게 운동 해보세요 ,0
비밀 지켜줄까 ?,세상 에 비밀 은 없어요 ,0
비밀 지킬 수 있을까,세상 에 비밀 은 없어요 ,0
비밀번호 기억 안 나,회원정보 찾기 를 해보세요 ,0
비밀번호 까먹었다,회원정보 찾기 를 해보세요 ,0
비밀번호 뭐 였더라,회원정보 찾기 를 해보세요 ,0
비밀번호 자꾸 바꾸래,보안 상 그게 좋죠 ,0
비밀번호 자꾸 바꿔,보안 상 그게 좋죠 ,0
비밀연애 하고 있어,스릴 있겠네요 ,0
비밀 은 없는 거 겠지,언젠가 다 밝혀지기 마련 이 죠 ,0
비밀 은 없어,언젠가 다 밝혀지기 마련 이 죠 ,0
비밀 이 너무 많은 거 같아,하나 씩 비밀 을 공유 해보세요 ,0
비싼 명품 이제 그만 사야겠어,남 의 눈 을 위 한 거 라면 필요 없어요 ,0
비싼 선물 부담스럽나 ,고가 의 선물 은 부담스러울 수도 있어요 ,0
비싼게 맛있어,가려 먹으면 좋죠 ,0
비 오는 날 뭐 할까 ?,실내 데이트 요 ,0
비 오는 날 뭐 해 ?,실내 데이트 요 ,0
비오면 마중 나와 주는 사람 있어서 좋다,우산 같은 사람 이네 요 ,0
비정규직 서럽다,사람 이 가장 중요한데 말 이 죠 ,0
비정규직 차별,차별 이 가장 안 좋은 건데 슬프네요 ,0
비정규직 은 사람 도 아닌가,사람 이 가장 중요한데 말 이 죠 ,0
비정규직 이라 차별 받아,차별 이 가장 안 좋은 건데 슬프네요 ,0
비타민 먹어야지,꼬박꼬박 챙겨 드세요 ,0
비타민 사서 먹어야겠다 ,꼬박꼬박 챙겨 드세요 ,0
비트코인 날림,안타깝지만 잊어버리세요 ,0
비트코인 망함 한강 가자,어서 잊고 새 출발 하세요 ,0
비트코인 ㅜㅜ,안타깝지만 잊어버리세요 ,0
비행기 타러 간다 !,잘 다녀오세요 ,0
비행기 타러 공항 간다,잘 다녀오세요 ,0
비행기표 가 너무 비싸,일찍 구매 하면 좀 더 저렴하게 살 수 있어요 ,0
비행기표 가 왜 이렇게 비싸,일찍 구매 하면 좀 더 저렴하게 살 수 있어요 ,0
빙빙 돌려서 말 하지 말고 다이렉트 로 말 했으면,말 하는 습관 차이 인 듯 합니다 ,0
빙수 맛있다,디저트 는 언제나 맛있어요 ,0
빚 때문 에 죽 을 것 같아,빚 얼른 갚고 새 출발 하세요 ,0
빚 이 너무 많아,빚 얼른 갚고 새 출발 하세요 ,0
빠떼리 나감,얼른 충전 하세요 ,0
빡빡 한 일상,여유 가 생기길 바랍니다 ,0
빨래 끝,이제 청소 시작 ,0
빨래 다 했다 ,이제 청소 시작 ,0
빨래 했어 ,부지런하시네요 ,0
빨리 걷다가 넘어질 뻔,조심하세요 ,0
빨리 정규직 하고 싶다,곧 할 수 있을 거 예요 ,0
빵 먹어야지,맛있게 드세요 ,0
빵 한 개 만 먹어야지,맛있게 드세요 ,0
빵꾸 난 양말 봤나,괜찮아요  그럴수도 있죠 ,0
빼빼로 만들어 주면 좋아할까,먹어 보고 싶어요 ,0
빽 선물 받았어,정말 기분 좋으시겠어요 ,0
빽 선물 해도 될까,받는 사람 은 정말 좋겠어요 ,0
뻔하다,한가지 만 보면 몰라요 ,0
뻘짓 한 느낌 싫다,바람 좀 쐬고 오시 면 좋은텐데 ,0
뿌리 염색 다시 해야 되겠다,참 귀찮은 일이 죠 ,0
뿌염 해야지,참 귀찮은 일이 죠 ,0
사과 를 안해,나쁜 사람 이네 요 ,0
사과 할 사람 은 사과 를 안해,나쁜 사람 이네 요 ,0
사귀고 싶어,마음 을 더 열어 보세요 ,0
사내 에서 비밀 연애 하고 있어,스릴 있겠네요 ,0
사는 게 허무해요,뜻대로 되는게 많지 않죠 ,0
사는게 날 너무 지치게 해,지칠 때 는 쉬어도 돼요 ,0
사다리타기 맨날 꽝 이야,다른 곳 에 쓰려고 운 을 아껴 뒀나 봐요 ,0
사다리타기 맨날 운 이 안 좋아,다른 곳 에 쓰려고 운 을 아껴 뒀나 봐요 ,0
사람 관리 하는 게 제일 힘들어,너무 믿지 마세요 ,0
사람 만나는 거 너무 어려워,미리 움츠러들지 않아도 돼요 ,0
사람 만나는 게 쉽지 않아,미리 움츠러들지 않아도 돼요 ,0
사람 만나는 게 피곤해,그 사람 을 위해 에너지 를 쓰니까 요 ,0
사람 많아서 기다려 야할지도,커피 한잔 마시며 기다려 보세요 ,0
사람 사이 에 있어도 외로워,사람 은 외로운 동물 이 죠 ,0
사람 들 은 왜 이렇게 날 힘들게 할까,인간 관계 가 제일 힘든 거 같아요 ,0
사람 들 은 왜 이렇게 신경 쓸까,신경 쓰는 사람 들 무시 하세요 ,0
사람 들 이 나 이상하대,그 누구 도 아닌 자기 걸음 을 걸으세요 ,0
사람 들 이 나 좀 좋아해 줬으면,먼저 다가가 보세요 ,0
사람 들 이 날 너무 힘들게 한다 ,너무 힘드시겠어요 ,0
사람 에 치여,너무 힘드시겠어요 ,0
사람 은 많은데 외로워,사람 은 외로운 동물 이 죠 ,0
사람 은 진짜 다른 가봐,그걸 깨닫다니 대단하시군요 ,0
사람 의 마음 을 얻는게 어려워,진심 으로 마음 을 전 해보세요 ,0
사람 이 제일 무서워,인생 을 알아가고 있군요 ,0
사랑니 나나 봐,아프겠어요 ,0
사랑니 나 는 거 아프다,진통제 드세요 ,0
사랑니 나 는 것 같아 아파,아프겠어요 ,0
사랑니 아파,진통제 드세요 ,0
사랑 한다고 말 해줘,많이 사랑 해요 !,0
사소한 걸 로 트집 잡는 사람 어떡해 ?,웃으면서 무시 해주세요 ,0
사수 좋아하는 거 같 애,살짝 감정 을 흘려 보세요 ,0
사수 가 깐깐하게 군 다,처음 배우는게 중요해요 ,0
사수 가 일 을 너무 못 하네,참고 견뎌 보세요 ,0
사수 님 너무 좋아,살짝 감정 을 흘려 보세요 ,0
사업 구상,성공하길 바랍니다 ,0
사업 구상 하고 있어,성공하길 바랍니다 ,0
사업 시작 해도 될까,확신 이 있을 때 시작 해보세요 ,0
사업 해볼까 ?,확신 이 있을 때 시작 해보세요 ,0
사이코 가 너무 많아,조심해야 해 요 ,0
사장 이 월급 을 안줘,큰일 이네 요 ,0
사 전 뜻 이 이상해,사전 도 사람 이 만드니까 이해 해주세요 ,0
사전 이 이상해,사전 도 사람 이 만드니까 이해 해주세요 ,0
사진 업로드 해야겠다 ,바쁘네요 ,0
사진 예쁘게 찍고 싶다 ,많이 찍다 보면 조금씩 실력 이 늘거예요 ,0
사진 올려야지,바쁘네요 ,0
사진 잘 찍고 싶어,많이 찍다 보면 조금씩 실력 이 늘거예요 ,0
사진 정리 언제 다 하냐,한번 에 다 하려고 하지말고 조금씩 정리 를 해보세요 ,0
사진 정리 가 안 돼네,한번 에 다 하려고 하지말고 조금씩 정리 를 해보세요 ,0
사투리 귀여워,귀여운 사람 이 말 해서 그래요 ,0
사투리 쓰는게 귀여워,귀여운 사람 이 말 해서 그래요 ,0
사표 낼까 ?,뒷 감당 은 준비 하세요 ,0
사표 던지고 나오고 싶어,뒷 감당 자신 있으면 하세요 ,0
사회생활 에서 인간 관계 가 어려워,운전 처럼 안전 거리 확보 하세요 ,0
사회 에서 좋은 사람 만날 수 있을까 ?,대하 는 태도 에 따라 다를 것 같아요 ,0
사회 에서도 좋은 사람 만날 수 있어 ?,가려 가며 만나면 돼요 ,0
사회 에서도 좋은 사람 많이 만날 수 있을까 ?,대하 는 태도 에 따라 다를 것 같아요 ,0
산 넘어 산이 네,그래도 넘을 수 있을 거 예요 ,0
산다 는 건 뭘 까 ?,이름  직업 등 말고 온전히 자신 으로 사는 거 죠 ,0
살 게 없네,안 사면 그만큼 모으시는거예요 ,0
살 때문 에 교복 이 잘 안 들어가,한창 클 때 죠 ,0
살 만 한 게 없네,안 사면 그만큼 모으시는거예요 ,0
살 좀 빼고 싶다,적게 먹고 많이 움직이세요 ,0
살 좀 빼야 되는데,운동 을 시작 해보세요 ,0
살 쪄서 교복 이 껴,한창 클 때 죠 ,0
살 만해 ?,누구 나 한번 쯤 시도 해 볼 만하 죠 ,0
살아서 좋은 점,살아있음 그 자체 가 좋은 거 예요 ,0
살아야 하는 이유,살아있음 그 자체 가 좋은 거 예요 ,0
살이 안 쪄,신기하네요 ,0
살이 안 빠져,적게 먹고 많이 움직이세요 ,0
살찐 거 같아,기분 일꺼에요 ,0
삶 에 지쳤어,지칠 때 는 쉬어도 돼요 ,0
삼겹살 구워 먹고 싶다 ,맛 나게 드세요 ,0
삼겹살 구워 먹어야지,맛있겠네요 ,0
삼겹살 구워야지,맛있겠네요 ,0
삼겹살 냄새,섬유 탈취 제 뿌려 보세요 ,0
삼겹살 냄새 다 벴어,섬유 탈취 제 뿌려 보세요 ,0
삼겹살 먹고 싶다,맛 나게 드세요 ,0
삼겹살 에 소주,생각 만 해도 군침 이 도 네 요 ,0
삼겹살 에 소주 먹고 싶어,생각 만 해도 군침 이 도 네 요 ,0
상 받고 싶어,아무래도 뿌듯할 거 예요 ,0
상 받으면 좋겠지 ?,아무래도 뿌듯할 거 예요 ,0
상 받을 거 같아,축하 합니다 !,0
상 좀 받아야 할텐데,다음 에는 받을 수 있을 거 예요 ,0
상관 없는 이야기 만 해,잊어버리세요 ,0
상사 너무 싫은데 좋아질 수 있을까 ?,피하 지 말고 적극 적 으로 장점 을 찾아서 인정 하고 호의 를 보 여보세요 ,0
상사 가 갈궈 ,이유 가 있지 않을까요 ,0
상사 가 미울 때,사표 를 써서 품 에 품어 봅니다 ,0
상사 가 미워,사표 를 써서 품 에 품어 봅니다 ,0
상사 가 진짜 미쳤다,피하 지 말고 적극 적 으로 장점 을 찾아서 인정 하고 호의 를 보 여보세요 ,0
상사 에게 안부 인사 도 해야 돼 ?,원하는 꼰대 가 있죠 ,0
상사 한테 또 깨졌어,인정 받을 날 이 올 거 예요 ,0
상사 한테 또 혼남,인정 받을 날 이 올 거 예요 ,0
상의 도 안 하고 왜 혼자 결정 하지 ?,이야기 를 하지 않고 결정 했나 봐요 ,0
상의 도 없이 왜 그런 결정 을 하지 ?,이야기 를 하지 않고 결정 했나 봐요 ,0
상처 안 받고 싶다,내 가 우선 순위 면 돼요 ,0
상처 좀 안 받고 싶다,내 가 우선 순위 면 돼요 ,0
상처 받았어,다른 사람 말 은 신경 쓰지 마세요 ,0
상황 이 안 좋아,좋아질 거 예요 ,0
상황 이 최악 이다,좋아질 거 예요 ,0
새 신발 샀어,좋은 곳 으로 데려다 줄 거 예요 ,0
새 신발 선물 받았다,도망가라는 건가 요 ,0
새 옷 샀다,꼬까 옷 개시 해보세요 ,0
새 운동화 사야지,좋은 곳 으로 갈 수 있도록 인도 해줄 거 예요 ,0
새 이불 덮었어,숙면 하겠네요 ,0
새 집 가기 로 했어,내 집 마련 축하 드려요 ,0
새 집 샀어,내 집 마련 축하 드려요 ,0
새 집 으로 이사 가기 로 했어,내 집 마련 축하 드려요 ,0
새 휴대폰 이 갖고 싶어,핸드폰 은 핸드폰 가게 에서 바꾸세요 ,0
새로운 게임 없나 ?,엄청 많죠 ,0
새로운 곳 에 적응 을 못 해,처음 부터 잘 하는 사람 은 없어요 ,0
새로운 공부 시작 해도 될까,공부 는 언제나 좋죠 ,0
새로운 마음 으로,시작 !,0
새로운 마음 으로 시작,시작 !,0
새로운 베프 가 필요해,주변 의 좋은 사람 들 에게 연락 해보세요 ,0
새로운 베프 를 만들고 싶어,주변 의 좋은 사람 들 에게 연락 해보세요 ,0
새로운 사람 만나는 게 스트레스 야,자신 과 마음 이 맞는 좋은 사람 만나세요 ,0
새로운 사랑 이 찾아올까,좋은 사람 만날 거 예요 ,0
새로운 일 벌려도 될까,도전 해 봐도 좋을 거 같아요 ,0
새로운 일 해도 될까,도전 해 봐도 좋을 거 같아요 ,0
새벽 감성,조용하니 혼자 생각 하기 좋죠 ,0
새벽 되니까 감성 적 으로 되네,조용하니 혼자 생각 하기 좋죠 ,0
새 신발 샀는데 비 와,얼른 실내 로 들어가세요 ,0
새 신발 신고 놀러 가야 지,좋은 곳 으로 데려다 줄 거 예요 ,0
새 신발 신고 좋은 곳 가야 지,좋은 곳 으로 데려다 줄 거 예요 ,0
새 신발 신었는데 비 와,얼른 실내 로 들어가세요 ,0
새 이불 뽀송뽀송,숙면 하겠네요 ,0
새치 가 왜 이렇게 많을까,요즘 많이 힘드신 가봐요 ,0
새치 가 왜 이렇게 많이 나지 ?,요즘 많이 힘드신 가봐요 ,0
새 폰 케이스 로 새 옷 입혀 줄까,예쁜 걸 로 하나 사주세요 ,0
새 학기 준비 좀 해볼까,새로운 시작 응원 해요 !,0
새 학기 준비 해야지,새로운 시작 응원 해요 !,0
새 학기 필기구 좀 사야지,새 학기 준비 잘 하세요 ,0
새 학기 학용품 사야지,새 학기 준비 잘 하세요 ,0
새해 복 많이 받아 !,새해 복 많이 받으세요 !,0
새해 다 !,새해 복 많이 받으세요 !,0
샌드위치 먹고 싶어,애그 샌드위치 추천 합니다 ,0
샌드위치 생각 나,애그 샌드위치 추천 합니다 ,0
샐러드 먹어야지,건강한 식단 이네 요 ,0
생각 안나,잘 생각 해보세요 ,0
생각 없이 말 했어,상처 가 될 수 있어요 ,0
생각 만 해도 땀나네,미리 긴장 하지 마세요 ,0
생각 만 해도 마음 이 무거워,긍정 적 인 생각 을 해보세요 ,0
생각 만해 도 좋아,좋아하시니까 좋네요 ,0
생각 보다 오늘 너무 춥네,감기 조심하세요 ,0
생각 없이 말 했어,생각 하고 말 하세요 ,0
생각 없이 상처 줬어,생각 하고 말 하세요 ,0
생각 이 불순,좋은 생각 많이 하세요 ,0
생각 이 불순 해져,좋은 생각 많이 하세요 ,0
생각 이 전혀 안나,잘 생각 해보세요 ,0
생각 한 데 로 안 돼서 고민 이다 ,인생 은 항상 마음 먹은 대로 되지 않아요 ,0
생각 할 수 있어 ?,당신 이 행복하길 바라는 생각 을 하고 있어요 ,0
생각 할 시간 조차 없어,정신없이 바쁜 가봐요 ,0
생각 할 시간 도 없는 느낌,정신없이 바쁜 가봐요 ,0
생각 할수록 머리 아파,두통약 드세요 ,0
생각 해주는 척 만 한거였어,뒤통수 맞았나 봐요 ,0
생각 해주는 척 하더니 더한 사람 이었어,뒤통수 맞았나 봐요 ,0
생강차 끓여 먹어야겠다,따뜻하게 드세요 ,0
생강차 먹어야겠다,따뜻하게 드세요 ,0
생리통 너무 심해,약 을 먹거나 병원 에 가보세요 ,0
생리통 때문 에 배 아파,힘들겠어요 ,0
생리통 심해,힘들겠어요 ,0
생판 모르는 사람 이 아는 척해,세상 에는 예상 하지 못 한 일 들 이 자주 일어나는 것 같아요 ,0
생활비 다 썼네,허리띠 를 졸라 매세요 ,0
샤워 가운 완전 유용해,춥지도 않고 포근하죠 ,0
샤워 가운 있으니까 좋다,춥지도 않고 포근하죠 ,0
샤워 하는데 밖 에서 소 리나 서 쫄았어,당황 하셨겠어요 ,0
샤워 하는데 창문 밖 에서 소 리나 서 개쫄음,당황 하셨겠어요 ,0
서류 도 안 돼,붙는 곳 이 있을 거 예요 ,0
서류 에서 떨어졌어 ,붙는 곳 이 있을 거 예요 ,0
서류 에서 떨어지다니,합격 하는 곳 이 있을 거 예요 ,0
서비스 센터 가야겠네,미루지말고 바로 가보세요 ,0
서비스 센터 가야 하게 생겼네,미루지말고 바로 가보세요 ,0
서울 근교 데이트 추천 해줘,드라이브 추천 해 들요 ,0
서울 근교 에서 갈만 한 곳 추천,드라이브 추천 해 들요 ,0
서점 왔어,마음 에 드는 책 을 잘 찾아보세요 ,0
서점 에 들렀어,마음 의 양식 을 채우길 바랄세요 ,0
서핑 출발,좋은 취미 네 요 ,0
서핑 하러 가고 싶다,주말 에 gogo ,0
서핑 하러 가야 지,좋은 취미 네 요 ,0
선 들어왔어,많이 만나 보세요 ,0
선 많이 볼거 같아,많이 만나 보세요 ,0
선 볼까 ?,많이 만나 보세요 ,0
선물 주세요,저 도 받고 싶어요 ,0
선물 로 인형 받았어,고맙다고 말 해 주세요 ,0
선물 받고 싶어,저 도 받고 싶어요 ,0
선배 가 선배 같지 않아,그래도 배울 점 이 하나 라도 있을 거 예요 ,0
선배 가 이상해,그래도 배울 점 이 하나 라도 있을 거 예요 ,0
선생님 좋아해,선생님 도 좋아할 거 예요 ,0
선생님 이 나 만 뭐라고 해,애정 표현 이라고 생각 하세요 ,0
선생님 이 나 만 미워해,직접 여쭤 보세요 ,0
선생님 이 나 한테 왜 그럴까 ?,직접 여쭤 보세요 ,0
선생님 이 좋아,선생님 도 좋아할 거 예요 ,0
선생님 이 차별 하는 것 같아,가장 듣기 싫은 경우 예요 ,0
선생님 이 친구 랑 차별 해,가장 듣기 싫은 경우 예요 ,0
선생님 한테 선물 줘야 된대,안 줘도 괜찮아요 ,0
선생님 한테 선물 한 대,안 줘도 괜찮아요 ,0
선 이 많이 들어오네,많이 만나 보세요 ,0
선 자리 들어왔어,많이 만나 보세요 ,0
선택 장애 같아,선택 할 때 힘든 건 당연해요 ,0
선택 장애 있는 거 같아,선택 할 때 힘든 건 당연해요 ,0
선택 이 어려워 ,고민 은 누구 나 해 요 ,0
선풍기 틀어도 더워,시원한 아이스크림 어떠세요 ?,0
선풍기 틀어도 더워,카페 라도 가서 쉬 다 오면 어떨까 요,0
선풍기 가 있어도 소용 없어,시원한 아이스크림 어떠세요 ?,0
선풍기 만으로 안 되는 더위,카페 라도 가서 쉬 다 오면 어떨까 요,0
설날 인데 볼 게 없어,보고 싶었던 영화 보세요 ,0
설날 인데 재밌는거 안해,보고 싶었던 영화 보세요 ,0
설명 좀 해봐,정확하게 말씀 해 주세요 ,0
섬유 유연제 향 좋다,향 이 많은 걸 말 해주죠 ,0
섬유 유연제 향 좋은 거 사야겠지,향 이 많은 걸 말 해주죠 ,0
성격 이 안 맞나 봐,슬프네요 ,0
성격 이 완전 반대 야,슬프네요 ,0
성격 이 점점 날카로워져,나 에게 화난 걸 남 에게 풀려고 하지 마세요 ,0
성공하고 싶다,지금 보다 더 잘 살 거 예요 ,0
성공하면 계속 좋을 줄 알았는데,성공 에서 가장 어려운 것 이 성공한 상태 를 유지 하는 거 예요 ,0
성공하면 끝일 줄 알았는데,성공 에서 가장 어려운 것 이 성공한 상태 를 유지 하는 거 예요 ,0
성공할 수 있을까,지금 보다 더 잘 살 거 예요 ,0
성공할 수 있을까 ?,인내 할 수 있는 사람 이 라면 무엇 이든 손 에 넣을 수 있을 거 예요 ,0
성덕 되고 싶다,당신 이 잘 돼야 성덕 이 될수있겠죠 ,0
성덕 되면 내 마음 도 편해 지겠지,당신 이 잘 돼야 성덕 이 될수있겠죠 ,0
성적 좀 좋았으면,나 만의 공부 방법 을 찾아보세요 ,0
성적표 보시 면 화 내실텐데,이번 에는 어쩔 수 없어요 ,0
성형 견적 받아 볼까,견적 받고 충격 받지 마세요 ,0
성형 무서워,안해 도 예뻐요 ,0
성형 상담 받아 볼까,견적 받고 충격 받지 마세요 ,0
성형 안해 도 예쁜데,맞아요  예뻐요 ,0
성형 해도 될까,안해 도 예뻐요 ,0
성형 할까,돈 많이 들텐데요 ,0
세금 너무 많아,그런 감 이 없지 않죠 ,0
세금 너무 많이 내는 거 같 애,그런 감 이 없지 않죠 ,0
세뱃돈 받았어 호호,아직 어린 가봐요 ,0
세뱃돈 받음,아직 어린 가봐요 ,0
세상 엔 힘든 게 많다,그게 인생 이 죠 ,0
세상 은 불공평해,서로 다르게 태어난 이유 는 저 마다의 목소리 를 내기 위 해서예요  자신 의 목소리 를 들어주세요 ,0
세상 이 너무 무서워,너무 불안해하지 않아도 돼요 ,0
세상 이 무서워,너무 불안해하지 않아도 돼요 ,0
세탁기 돌리는 중,부지런하시네요 ,0
세탁소 가기 귀찮네,스타 일러 사세요 ,0
세탁소 가기 도 귀찮네,스타 일러 사세요 ,0
셀카 잘 찍고 싶다,연습 해보세요 ,0
셀카 잘 찍는 방법,얼굴 이 준비 되어야 겠지요 ,0
셀카 잘 찍어서 올리고 싶다 ,얼굴 이 준비 되어야 겠지요 ,0
셀카 좀 잘 찍고 싶다,연습 해보세요 ,0
셀카 만 계속 찍어,잘 찍어주세요 ,0
셀프 신행 준비 팁 알려줘,신혼여행 은 자유여행 이 죠 !,0
셀프 웨딩 어떨꺼 같아,혼자 준비 하기는 조금 벅찰텐 대요 ,0
셀프 웨딩 해볼까,혼자 준비 하기는 조금 벅찰텐 대요 ,0
셀프 웨딩 힘든만큼 보람 될까 ?,쉽지 않을거예요 ,0
셀프 웨딩 힘들겠지,쉽지 않을거예요 ,0
셀프 웨딩 이 유행 이래,혼자 준비 하기는 조금 벅찰텐 대요 ,0
셀프 인테리어 해볼까,손길 이 가서 더 애정 이 생길 것 같아요 ,0
소개 받았는데 카톡 으로 연락 중,썸 에서 연인 으로 성공하길 바라요 ,0
소개 받은 사람 이랑 카톡 으로 연락 중,썸 에서 연인 으로 성공하길 바라요 ,0
소개팅 시켜줘,로봇 도 괜찮다면 소개 시켜 드릴게요 ,0
소개팅 하고싶다,친구 한테 부탁 해보세요 ,0
소개팅 해주고 욕먹음,친구 로서 와 이성 으로서 보는 눈 이 달랐나 봐요 ,0
소개팅 남 연락 이 없어,하루 그 이상 이면 끝 인거 예요 ,0
소개팅 도 안 들어와,친구 한테 부탁 해보세요 ,0
소개팅 으로 잘되 기도 하나 ?,소개팅 으로 잘 된 사람 많아요 ,0
소개팅 으로 잘 된 사람 도 있나 ?,소개팅 으로 잘 된 사람 많아요 ,0
소개팅 이 왜 안 들어올까,친구 한테 부탁 해보세요 ,0
소개팅 하고 연락 이 안 와,하루 그 이상 이면 끝 인거 예요 ,0
소개팅 한다 !,성공 을 기원 합니다 ,0
소개 해 준다는 사람 도 없어,친구 한테 부탁 해보세요 ,0
소나기 내려,비 맞으면 안 돼요 !,0
소리 지르고 싶어,시원하게 지르고 오세요 ,0
소문 날까봐 무서워,긍정 적 이고 부정 적 인 파급 력 이 모두 세죠 ,0
소문 이 안 좋아,소문 은 소문 일 뿐 이에요 ,0
소액 결제 엄청 나왔어,그건 소액 이 아니에요 ,0
소 오름 쫙,좋은 일이 길 바랍니다 ,0
소원 뭐 말 하지,신중하게 고르세요 ,0
소원 하는 대로 이루어졌으면 ,사는 재미 가 없을거예요 ,0
소통 이 안 돼,포기 하지 마세요 ,0
소화 가 안 돼,소 화제 챙겨 드세요 ,0
소화 시켜야 하는데 움직 이기 가 싫어,소 화제 챙겨 드세요 ,0
소 화제 먹어야 겠다,급하게 먹거나 과식 하지 말고 좋은 식 습관 을 가져 보세요 ,0
소 화제 먹어야겠다,급하게 먹거나 과식 하지 말고 좋은 식 습관 을 가져 보세요 ,0
속상해,기분 전환 을 해보세요 ,0
속 았 나,다음 부터 속지 마세요 ,0
속이 계속 안 좋아,신경 쓸 일이 있나 봐요 ,0
속이 안 좋아,소화 가 안 되나 봐요 ,0
속이 안 좋아,신경 쓸 일이 있나 봐요 ,0
속이 영 안 좋아,소화 가 안 되나 봐요 ,0
속이는 거 더 못 하겠어,남 을 속이는건 나쁜거예요 ,0
속이는 거 더 이상 못 하겠어,남 을 속이는건 나쁜거예요 ,0
손 베였어,소독 하고 약 바르세요 ,0
손 시려,장갑 하나 사셔야겠어요 ,0
손 얼것 같음,장갑 을 끼세요 ,0
손 얼겠다,장갑 을 끼세요 ,0
손 잡았어,좋았겠어요 ,0
손가락 이 가늘고 긴 사람,로망 이네 요 ,0
손가락 이 예쁜 사람,로망 이네 요 ,0
손님 싫어,밖 에서 만나 보세요 ,0
손님 오는 거 싫어,밖 에서 만나 보세요 ,0
손목 아파,스트레칭 해주세요 ,0
손목 아프다구,스트레칭 해주세요 ,0
손발 이 차가워,지압 이나 운동 해보세요 ,0
손수건 가지 고 다닐 걸,이제 그러면 돼요 ,0
손수건 안 가지 고 나왔어 ,이제 그러면 돼요 ,0
손 이랑 발 이 차가워,장갑 하나 사셔야겠어요 ,0
손톱 정리 좀 할까,기분 전환 을 해보세요 ,0
손톱 이 길어,신경 쓰이나 봐요 ,0
손톱 이 너무 길어,신경 쓰이나 봐요 ,0
손톱 이나 깎아야지,생각났을 때 바로 하세요 ,0
손톱 이나 짧게 깎아야지,생각났을 때 바로 하세요 ,0
쇼핑 좀 해볼까,필요한 게 있으신 가봐요 ,0
쇼핑 중독 인가 봐,마음 이 헛헛 한 가봐요 ,0
쇼핑 이나 할까,쇼핑 좋아요 !,0
쇼핑 하고 싶다,필요한 게 있으신 가봐요 ,0
쇼핑 했더니 힘드네,칼로리 소모 가 꽤 돼요 ,0
숏컷 해볼까 ?,변화 를 주는 것 도 좋겠죠 ,0
숏컷 트 어울릴까 ?,변화 를 주는 것 도 좋겠죠 ,0
수강신청 망했어,정정 기간 을 노려 보세요 ,0
수강신청 폭망,정정 기간 을 노려 보세요 ,0
수건 썩었어,식초 넣고 빨래 해보세요 ,0
수건 에서 냄새 나,식초 넣고 빨래 해보세요 ,0
수능 떨린다,잘 볼 수 있을 거 예요 ,0
수능 어떻게 해,잘 볼 수 있을 거 예요 ,0
수능 잘 보는 방법,컨디션 조절 하세요 ,0
수능시험 에서 좋은 점수 받는 방법,컨디션 조절 하세요 ,0
수도 가 얼었나 물이 안나 와,잘 녹 여보세요 ,0
수도 가 얼었나 봐,잘 녹 여보세요 ,0
수면 양말 겁나 따 뜻,잠 이 솔솔 와 서 수면 양말 인가 봐요 ,0
수면 양말 포근포근 따뜻하다,잠 이 솔솔 와 서 수면 양말 인가 봐요 ,0
수박 맛있어 ,맛있을 거 같아요 ,0
수박 먹어야지,맛있을 거 같아요 ,0
수분크림 듬뿍 바르고 자야겠다 ,예뻐질 거 예요 ,0
수분크림 바르고 자면 나아질거야,예뻐질 거 예요 ,0
수상한 느낌 이 든다,해결 될 거니 기다려 보세요 ,0
수업 시간 내내 잤어,한창 잠 이 많을 때 죠 ,0
수업 시간 내내 잤어,피곤한 가봐요 ,0
수염 기르고 싶다,지저분해요 ,0
수염 기를까,길러도 어울리면 길러 보세요 ,0
수염 길러 볼까,지저분해요 ,0
